primary_category,display_name,count,total_playtime_hours,avg_rating,completed_count,unstarted_count
action_combat,🗡️动作战斗,98,3920.27,,0,0
shooter_competitive,🎯射击枪战,63,3688.4,,0,0
role_playing,🧙角色扮演,51,260.25,,0,0
narrative_adventure,🎬叙事冒险,97,6228.89,,0,0
puzzle_deduction,🧩解谜推理,118,2770.83,,0,0
strategy_tactics,♟️策略战术,67,5478.75,,0,0
card_board,🃏卡牌桌游,39,7691.82,,0,0
simulation_management,🏪模拟经营,75,6871.88,,0,0
construction_management,🏗️建造管理,36,3720.81,,0,0
survival_sandbox,🌲生存沙盒,32,9169.56,,0,0
platformer,🏃平台跳跃,30,5877.89,,0,0
racing_sports,🏁竞速体育,15,137.02,,0,0
rhythm_music,🥁音乐节奏,13,770.6,,0,0
casual_party,🎈休闲派对,67,340.18,,0,0
visual_novel,📖视觉小说,27,62.22,,0,0
idle_incremental,💤放置挂机,31,33582.42,,0,0
tool_software,🛠️工具应用,17,9856.41,,0,0
